 MERS=(3,5,5)  GNORM=5 TV=(  6.6960  2.4545  2.4545)
      Graphite, orientated so that the "c" axis is along the "x" direction
let symmetry int
  C    10.04400000 +1  10.62834850 +1   3.68176814 +1
  C    10.04400000 +1  12.04546150 +1   3.68176814 +1
  C    13.39200000 +1   9.21123550 +1   3.68176814 +1
  C     0.00000000 +1   4.25133900 +1  -2.45451172 +1
  C    -3.34800000 +1   4.25133900 +1  -2.45451172 +1
  C    -3.34800000 +1   5.66845200 +1  -2.45451172 +1
  C     0.00000000 +1   2.83422600 +1  -2.45451172 +1
  C     6.69600000 +1   4.25133900 +1  -2.45451172 +1
  C     3.34800000 +1   4.25133900 +1  -2.45451172 +1
  C     3.34800000 +1   5.66845200 +1  -2.45451172 +1
  C     6.69600000 +1   2.83422600 +1  -2.45451172 +1
  C    13.39200000 +1   4.25133900 +1  -2.45451172 +1
  C    10.04400000 +1   4.25133900 +1  -2.45451172 +1
  C    10.04400000 +1   5.66845200 +1  -2.45451172 +1
  C    13.39200000 +1   2.83422600 +1  -2.45451172 +1
  C     0.00000000 +1   6.37700875 +1  -1.22725572 +1
  C    -3.34800000 +1   6.37700875 +1  -1.22725572 +1
  C    -3.34800000 +1   7.79412175 +1  -1.22725572 +1
  C     0.00000000 +1   4.95989575 +1  -1.22725572 +1
  C     6.69600000 +1   6.37700875 +1  -1.22725572 +1
  C     3.34800000 +1   6.37700875 +1  -1.22725572 +1
  C     3.34800000 +1   7.79412175 +1  -1.22725572 +1
  C     6.69600000 +1   4.95989575 +1  -1.22725572 +1
  C    13.39200000 +1   6.37700875 +1  -1.22725572 +1
  C    10.04400000 +1   6.37700875 +1  -1.22725572 +1
  C    10.04400000 +1   7.79412175 +1  -1.22725572 +1
  C    13.39200000 +1   4.95989575 +1  -1.22725572 +1
  C     0.00000000 +1   8.50267850 +1   0.00000028 +1
  C    -3.34800000 +1   8.50267850 +1   0.00000028 +1
  C    -3.34800000 +1   9.91979150 +1   0.00000028 +1
  C     0.00000000 +1   7.08556550 +1   0.00000028 +1
  C     6.69600000 +1   8.50267850 +1   0.00000028 +1
  C     3.34800000 +1   8.50267850 +1   0.00000028 +1
  C     3.34800000 +1   9.91979150 +1   0.00000028 +1
  C     6.69600000 +1   7.08556550 +1   0.00000028 +1
  C    13.39200000 +1   8.50267850 +1   0.00000028 +1
  C    10.04400000 +1   8.50267850 +1   0.00000028 +1
  C    10.04400000 +1   9.91979150 +1   0.00000028 +1
  C    13.39200000 +1   7.08556550 +1   0.00000028 +1
  C     0.00000000 +1  10.62834825 +1   1.22725628 +1
  C    -3.34800000 +1  10.62834825 +1   1.22725628 +1
  C    -3.34800000 +1  12.04546125 +1   1.22725628 +1
  C     0.00000000 +1   9.21123525 +1   1.22725628 +1
  C     6.69600000 +1  10.62834825 +1   1.22725628 +1
  C     3.34800000 +1  10.62834825 +1   1.22725628 +1
  C     3.34800000 +1  12.04546125 +1   1.22725628 +1
  C     6.69600000 +1   9.21123525 +1   1.22725628 +1
  C    13.39200000 +1  10.62834825 +1   1.22725628 +1
  C    10.04400000 +1  10.62834825 +1   1.22725628 +1
  C    10.04400000 +1  12.04546125 +1   1.22725628 +1
  C    13.39200000 +1   9.21123525 +1   1.22725628 +1
  C     0.00000000 +1  12.75401800 +1   2.45451228 +1
  C    -3.34800000 +1  12.75401800 +1   2.45451228 +1
  C    -3.34800000 +1  14.17113100 +1   2.45451228 +1
  C     0.00000000 +1  11.33690500 +1   2.45451228 +1
  C     6.69600000 +1  12.75401800 +1   2.45451228 +1
  C     3.34800000 +1  12.75401800 +1   2.45451228 +1
  C     3.34800000 +1  14.17113100 +1   2.45451228 +1
  C     6.69600000 +1  11.33690500 +1   2.45451228 +1
  C    13.39200000 +1  12.75401800 +1   2.45451228 +1
  C    10.04400000 +1  12.75401800 +1   2.45451228 +1
  C    10.04400000 +1  14.17113100 +1   2.45451228 +1
  C    13.39200000 +1  11.33690500 +1   2.45451228 +1
  C     0.00000000 +1   6.37700850 +1  -3.68176758 +1
  C    -3.34800000 +1   6.37700850 +1  -3.68176758 +1
  C    -3.34800000 +1   7.79412150 +1  -3.68176758 +1
  C     0.00000000 +1   4.95989550 +1  -3.68176758 +1
  C     6.69600000 +1   6.37700850 +1  -3.68176758 +1
  C     3.34800000 +1   6.37700850 +1  -3.68176758 +1
  C     3.34800000 +1   7.79412150 +1  -3.68176758 +1
  C     6.69600000 +1   4.95989550 +1  -3.68176758 +1
  C    13.39200000 +1   6.37700850 +1  -3.68176758 +1
  C    10.04400000 +1   6.37700850 +1  -3.68176758 +1
  C    10.04400000 +1   7.79412150 +1  -3.68176758 +1
  C    13.39200000 +1   4.95989550 +1  -3.68176758 +1
  C     0.00000000 +1   8.50267825 +1  -2.45451158 +1
  C    -3.34800000 +1   8.50267825 +1  -2.45451158 +1
  C    -3.34800000 +1   9.91979125 +1  -2.45451158 +1
